Jour     ,Date       ,Salle 1,Salle 2,Salle 3,UCA    
Lundi,03/05/2021,,CC+AGC / CC (AGC),FP,AB
Mardi,04/05/2021,,CC+CA / CC (CA),LM,LC
Mercredi,05/05/2021,BB,AB,PMA,PM
Jeudi,06/05/2021,,PM,LC,FD
Vendredi,07/05/2021,,BB,GP,BB / AGC
,08/05/2021,,,,
,09/05/2021,,,,
Lundi,10/05/2021,,CC+AGC / CC (AGC),FP,AB
Mardi,11/05/2021,,AB,BB+FP,CA
Mercredi,12/05/2021,AB,FP,,PMA
Jeudi,13/05/2021,,,,
Vendredi,14/05/2021,,AGC,,
,15/05/2021,,,,
,16/05/2021,,,,
Lundi,17/05/2021,,CC+FP / CC (FP),CA,AB
Mardi,18/05/2021,,CC+FP / CC (FP),LM,LC
Mercredi,19/05/2021,BB,AB,PMA,PM
Jeudi,20/05/2021,,PM,LC,FD
Vendredi,21/05/2021,,BB,GP,CA
,22/05/2021,,,,
,23/05/2021,,,,
Lundi,24/05/2021,,,,
Mardi,25/05/2021,,CC+CA / CC (CA),BB+AGC,LM
Mercredi,26/05/2021,AB,,PM,PMA
Jeudi,27/05/2021,,FD,AGC/CA,PM
Vendredi,28/05/2021,,BB,BB (AGC) / AGC,GP
,29/05/2021,,,,
,30/05/2021,,,,
Lundi,31/05/2021,,CC+AGC / CC (AGC),CA,AB
Mardi,01/06/2021,,CC+CA / CC (CA),LM,LC
Mercredi,02/06/2021,BB,AB,PMA,PM
Jeudi,03/06/2021,,PM,LC,FD
Vendredi,04/06/2021,,AGC,GP,BB / CA
,05/06/2021,,,,
,06/06/2021,,,,
Lundi,07/06/2021,,CC+FP / CC (FP),AGC,CA
Mardi,08/06/2021,,PM,BB+CA,AGC
Mercredi,09/06/2021,AB,FP,,PMA
Jeudi,10/06/2021,,FD,LC,PM
Vendredi,11/06/2021,,BB,BB (AC) / AC,GP
,12/06/2021,,,,
,13/06/2021,,,,
Lundi,14/06/2021,,CC+CA / CC (CA),FP,AB
Mardi,15/06/2021,,CC+AGC / CC (AGC),LM,LC
Mercredi,16/06/2021,BB,AB,PMA,PM
Jeudi,17/06/2021,,PM,LC,FD
Vendredi,18/06/2021,,,GP,FP
,19/06/2021,,,,
,20/06/2021,,,,
Lundi,21/06/2021,,CC+FP / CC (FP),CA,AGC
Mardi,22/06/2021,,AB,BB+FP,LM
Mercredi,23/06/2021,AB,,FP,PMA
Jeudi,24/06/2021,,FD,LC,PM
Vendredi,25/06/2021,,BB,BB (CA) / CA,GP
,26/06/2021,,,,
,27/06/2021,,,,
Lundi,28/06/2021,,CC+AGC / CC (AGC),CA,AB
Mardi,29/06/2021,,CC+CA / CC (CA),LM,LC
Mercredi,30/06/2021,BB,AB,PMA,PM
Jeudi,01/07/2021,,PM,LC,FD
Vendredi,02/07/2021,,,GP,BB / AGC
,03/07/2021,,,,
,04/07/2021,,,,
Lundi,05/07/2021,,CC+FP / CC (FP),AGC,CA
Mardi,06/07/2021,,CC+AGC / CC (AGC),BB+CA,FP
Mercredi,07/07/2021,AB,FP,,PMA
Jeudi,08/07/2021,,FD,LC,PM
Vendredi,09/07/2021,,BB,BB (FP) / FP,GP
,10/07/2021,,,,
,11/07/2021,,,,
Lundi,12/07/2021,,CC+FP / CC (FP),CA,
Mardi,13/07/2021,,FP,LM,LC
Mercredi,14/07/2021,,,,
Jeudi,15/07/2021,,PM,LC,FD
Vendredi,16/07/2021,,,GP,CA
,17/07/2021,,,,
,18/07/2021,,,,
Lundi,19/07/2021,,CC+CA / CC (CA),AGC,FP
Mardi,20/07/2021,,CC+AGC / CC (AGC),BB+FP,LM
Mercredi,21/07/2021,AB,,FP,PMA
Jeudi,22/07/2021,,FD,LC,PM
Vendredi,23/07/2021,,BB,BB (CA) / CA,GP
,24/07/2021,,,,
,25/07/2021,,,,
Lundi,26/07/2021,,CC+FP / CC (FP),AGC,AB
Mardi,27/07/2021,,CC+AGC / CC (AGC),LM,FP
Mercredi,28/07/2021,BB,AB,PMA,PM
Jeudi,29/07/2021,,PM,,FD
Vendredi,30/07/2021,,,,BB / FP